name,value
Aceh,5
Bali,4
Banten,4
Bengkulu,4
DKI Jakarta,3
Daerah Istimewa Yogyakarta,4
Daerah Khusus Ibukota Jakarta,1
Gorontalo,4
Jambi,4
Jawa Barat,4
Jawa Tengah,4
Jawa Timur,4
Kalimantan Barat,4
Kalimantan Selatan,4
Kalimantan Tengah,5
Kalimantan Timur,4
Kalimantan Utara,4
Kepulauan Bangka Belitung,4
Kepulauan Riau,4
Lampung,4
Maluku,4
Maluku Utara,4
Nusa Tenggara Barat,4
Nusa Tenggara Timur,4
Papua,4
Papua Barat,4
Papua Barat Daya,2
Papua Pegunungan,4
Papua Selatan,4
Papua Tengah,4
Riau,4
Sulawesi Barat,4
Sulawesi Selatan,4
Sulawesi Tengah,4
Sulawesi Tenggara,4
Sulawesi Utara,4
Sumatera Barat,4
Sumatera Selatan,4
Sumatera Utara,4
